Ch1 Amplitude,Ch2 Amplitude,Cluster
2325.72046,1016.00879,1
2325.75781,1042.54028,1
2325.876,1058.22559,1
2326.27759,1049.38745,1
2326.358,1050.92371,1
2326.65771,1133.17468,1
2326.73,1106.61169,1
2326.832,1019.18378,1
2327.67969,965.0369,1
2327.719,1004.299,1
2327.89185,1063.45129,1
2328.23877,1054.19556,1
2328.59717,1090.209,1
2328.82471,1116.77014,1
2328.90942,1060.62476,1
2328.933,1054.98389,1
2329.24414,1020.54309,1
2329.358,1074.93225,1
2329.3894,975.1483,1
2330.1167,1061.091,1
2330.12939,927.1877,1
2330.165,1021.54712,1
2330.28955,990.9391,1
2330.333,1076.03625,1
2330.35278,1079.65417,1
2330.37646,1040.84729,1
2330.444,955.744934,1
2330.59277,1056.31653,1
2330.63,1029.07947,1
2330.82153,1037.72083,1
2331.02222,1089.24329,1
2331.045,1092.65662,1
2331.18921,950.087646,1
2331.2002,1079.38867,1
2331.30151,1092.84,1
2331.35229,1086.379,1
2331.5188,1043.53809,1
2331.812,1085.00366,1
2331.88477,1072.69983,1
2332.03467,1022.40619,1
2332.1687,1015.43549,1
2332.27173,1126.72058,1
2332.28369,999.186768,1
2332.31958,1083.54089,1
2332.58179,1044.37415,1
2332.709,971.4099,1
2332.78955,1003.86475,1
2332.927,1100.14343,1
2333.03052,1009.6731,1
2333.20874,915.0956,1
2333.36914,1122.53162,1
2333.97363,1016.08533,1
2334.13623,1051.5282,1
2334.19629,1054.73291,1
2334.26147,991.6714,1
2334.322,1040.192,1
2334.33887,956.547241,1
2334.35767,1093.2804,1
2334.52148,1014.00488,1
2334.8313,1038.99854,1
2334.83228,1004.80035,1
2334.89014,974.0421,1
2334.91187,985.200134,1
2334.96753,1068.653,1
2335.09326,1099.14636,1
2335.24927,988.28894,1
2335.44141,1008.16687,1
2335.444,1049.90515,1
2335.52881,1094.49561,1
2335.74585,1028.80554,1
2335.76123,1064.33154,1
2335.9248,1021.37335,1
2336.11768,964.9956,1
2336.229,1129.36865,1
2336.25342,1043.02869,1
2336.436,1114.90247,1
2336.69824,1023.57477,1
2336.87354,1053.0531,1
2337.07666,981.214966,1
2337.07813,1071.67041,1
2337.205,986.198059,1
2337.354,1028.68335,1
2337.62,1006.7475,1
2337.71021,1018.35846,1
2337.711,1072.05408,1
2337.77686,1096.003,1
2337.87036,993.2772,1
2337.882,1092.77673,1
2337.92651,1032.23743,1
