Ch1 Amplitude,Ch2 Amplitude,Cluster
2305.73218,1043.82275,3
2306.008,995.701,3
2306.27539,1070.14417,3
2306.43237,974.5662,3
2306.45117,1037.908,3
2306.5542,971.789063,3
2306.60449,1095.13416,3
2307.05151,1061.22363,3
2307.12183,1039.38013,3
2307.138,1093.22021,3
2307.17139,1051.57214,3
2307.38818,1068.72791,3
2307.41846,1197.57227,3
2307.49854,1083.32092,3
2307.612,1071.86609,3
2307.61768,1050.57581,3
2307.80444,1098.02563,3
2307.97,1049.34827,3
2308.21,1071.79492,3
2308.27637,1065.08435,3
2308.3894,1081.65784,3
2308.60962,1103.775,3
2308.70166,1128.31445,3
2308.77124,1061.53052,3
2309.14453,1085.608,3
2309.26929,1012.92017,3
2309.5647,1047.41174,3
2309.91284,1014.10339,3
2309.93066,1053.04419,3
2309.93945,1052.32092,3
2310.00928,1055.38184,3
2310.264,1064.86475,3
2310.82471,1065.874,3
2310.91333,1131.10132,3
2310.99,989.888733,3
2311.11865,1031.06116,3
2311.12817,1036.86719,3
2311.13,1118.417,3
2311.239,972.8597,3
2311.244,1280.09778,3
2311.25513,1088.95581,3
2311.30029,971.9654,3
2311.49365,1263.38184,3
2311.75562,1013.79016,3
2311.77783,1000.28717,3
2311.864,1078.27136,3
2311.88428,972.9735,3
2311.96753,1120.9209,3
2312.07837,1054.46973,3
2312.156,1009.96881,3
2312.16113,1166.96057,3
2312.30884,1187.34827,3
2312.49414,1076.98132,3
2312.5415,1119.33972,3
2312.58472,1151.26636,3
2312.95117,1100.62463,3
2313.03369,1068.19519,3
2313.16479,1089.2323,3
2313.16675,1038.1698,3
2313.18237,1119.03918,3
2313.32373,1019.50458,3
2313.63525,1036.38,3
2313.76953,1061.52588,3
2313.83,1093.52966,3
2313.83032,1093.94092,3
2313.98535,1075.36768,3
2314.312,1041.82593,3
2314.535,1019.77814,3
2314.652,1090.80859,3
2314.689,1048.81567,3
2314.93823,1129.37854,3
